Game Turns:
--------------------
Turn 0: Player: Peter, Roll: 1, Position: The Burvale, Balance: $15, Position: Bought The Burvale
Turn 1: Player: Billy, Roll: 3, Position: The Grand Tofu, Balance: $14, Position: Bought The Grand Tofu
Turn 2: Player: Charlotte, Roll: 1, Position: The Burvale, Balance: $15, Position: Charlotte paid rent to Peter
Turn 3: Player: Sweedal, Roll: 1, Position: The Burvale, Balance: $15, Position: Sweedal paid rent to Peter
Turn 4: Player: Peter, Roll: 1, Position: Fast Kebabs, Balance: $16, Position: Bought Fast Kebabs
Turn 5: Player: Billy, Roll: 2, Position: Betty's Burgers, Balance: $11, Position: Bought Betty's Burgers
Turn 6: Player: Charlotte, Roll: 4, Position: Betty's Burgers, Balance: $12, Position: Charlotte paid rent to Billy
Turn 7: Player: Sweedal, Roll: 2, Position: The Grand Tofu, Balance: $13, Position: Sweedal paid rent to Billy
Turn 8: Player: Peter, Roll: 6, Position: Massizim, Balance: $12, Position: Bought Massizim
Turn 9: Player: Billy, Roll: 3, Position: Massizim, Balance: $12, Position: Billy paid rent to Peter
Turn 10: Player: Charlotte, Roll: 5, Position: The Burvale, Balance: $11, Position: Charlotte paid rent to Peter
Turn 11: Player: Sweedal, Roll: 2, Position: Betty's Burgers, Balance: $10, Position: Sweedal paid rent to Billy
Turn 12: Player: Peter, Roll: 2, Position: The Burvale, Balance: $19, Position: Peter paid rent to Peter
Turn 13: Player: Billy, Roll: 2, Position: The Burvale, Balance: $14, Position: Billy paid rent to Peter
Turn 14: Player: Charlotte, Roll: 4, Position: Betty's Burgers, Balance: $8, Position: Charlotte paid rent to Billy
Turn 15: Player: Sweedal, Roll: 4, Position: GO, Balance: $11, Position: Laned on GO
Turn 16: Player: Peter, Roll: 6, Position: Gami Chicken, Balance: $17, Position: Bought Gami Chicken
Turn 17: Player: Billy, Roll: 1, Position: Fast Kebabs, Balance: $15, Position: Billy paid rent to Peter
Turn 18: Player: Charlotte, Roll: 4, Position: GO, Balance: $9, Position: Laned on GO
Turn 19: Player: Sweedal, Roll: 2, Position: Fast Kebabs, Balance: $9, Position: Sweedal paid rent to Peter
Turn 20: Player: Peter, Roll: 6, Position: Lanzhou Beef Noodle, Balance: $20, Position: Bought Lanzhou Beef Noodle
Turn 21: Player: Billy, Roll: 2, Position: Lanzhou Beef Noodle, Balance: $13, Position: Billy paid rent to Peter
Turn 22: Player: Charlotte, Roll: 1, Position: The Burvale, Balance: $7, Position: Charlotte paid rent to Peter
Turn 23: Player: Sweedal, Roll: 5, Position: Gami Chicken, Balance: $1, Position: Sweedal paid rent to Peter
Turn 24: Player: Peter, Roll: 4, Position: Massizim, Balance: $32, Position: Peter paid rent to Peter
Turn 25: Player: Billy, Roll: 5, Position: GO, Balance: $14, Position: Laned on GO
Turn 26: Player: Charlotte, Roll: 6, Position: Gami Chicken, Balance: $-1, Position: Charlotte paid rent to Peter
